link,news,tagline,,,,
https://tribune.com.pk/story/2030789/1-india-urges-pakistan-review-decision-downgrading-diplomatic-ties/,Indian FO says normal channels for diplomatic communications should be preserved,India urges Pakistan to review decision of downgrading diplomatic ties,,,,1
https://tribune.com.pk/story/2026881/1-four-arrested-fia-cybercrime/,The alleged culprit used to take young girls mobile phone numbers from his friend who worked at a mobile top-up shop,Four arrested by FIA over cybercrime,,,,2
https://tribune.com.pk/story/2026877/1-lahore-dig-holds-open-court-session/,"Most of the complaints were related to fraud, cheque dishonour, business deals and property",Lahore DIG holds open court session,,,,2
https://tribune.com.pk/story/2026874/1-pitb-launches-hrm-system/,Punjab Secretary Education Department Muhammad Mahmood along with PITB Chairman Azfar Manzoor launched the HRMS,PITB launches HRM system,,,,0
https://tribune.com.pk/story/2026869/1-40-pigeons-seized-smugglers/,"The same team, in another operation in the city, caught a man red-handed selling a wild shark",40 pigeons seized from smugglers,,,,1
https://tribune.com.pk/story/2030543/1-imc-seminar-discusses-indian-threat/,Speakers highlight various aspects of Indian violation of the special status of Kashmir,IMC seminar discusses Indian threatÂ,,,,0
https://tribune.com.pk/story/2030544/1-one-dead-two-injured-incidents/,"Victim waits for a bus on roadside, speeding car hits him","One dead, two injured in incidentsÂ",,,,2
https://tribune.com.pk/story/2030538/1-schools-ban-shorts-dengue-fear/,"Children need to wear full sleeves, trousers or shalwars to prevent themselves from dengue causing mosquitos",Schools ban shorts on dengue fear Â Â Â,,,,0
https://cricketpakistan.com.pk/en/news/detail/watch-ackermann-sets-t20-world-record-with-seven-wicket-haul,Malaysian bowler Arul Suppiah held the previous world record when he claimed 6-5 for Somerset against Glamorgan,WATCH: Ackermann sets T20 world record with seven-wicket haul,,,,0
https://tribune.com.pk/story/2030564/1-get-cow-serviced-rs100/,The animals were dirty as they had been sitting in the mud amid the recent spell of rain,Get your cow serviced for Rs100,,,,2
https://tribune.com.pk/story/2030552/1-unchecked-livestock-veterinary-emergency-hides-plain-sight/,"With Eidul Azha around the corner, Sindh has issued a Congo virus advisory",Unchecked livestock: A veterinary emergency hides in plain sight,,,,0
https://tribune.com.pk/story/2030140/1-redwithkashmir-effective-social-medias-turning-red-cause/,"Upward of 62,000 users following Instagram account remain united against Indian atrocities in IoK",#RedwithKashmir: How effective is social media's turning 'red' to the cause,,,,1
https://tribune.com.pk/story/2030558/1-nro-byword-political-deals-pml-n/,Party vows to neither take NRO nor allow PTI to take one,NRO a byword for political deals: PML-N,,,,0
https://tribune.com.pk/story/2030619/1-ppp-pml-n-leaders-meet-keep-alliance-afloat/,Bilawal and Shehbaz try to remove misunderstandings in wake of Senate debacle,"PPP, PML-N leaders meet to keep alliance afloat",,,,4
https://tribune.com.pk/story/2030562/1-60-students-study-china-free/,Chinese first secretary says Beijing is pleased to help Islamabad,Over 60 students to study in China for free,,,,1
https://tribune.com.pk/story/2030424/1-mind-language-mushahidullah-fawad-hurl-abuses-parliament/,PTI leader pounces on PML-N senator after being called dabbu,"Mind your language: Mushahidullah, Fawad hurl abuses in parliament",,,,2
https://tribune.com.pk/story/2030426/2-sharifs-used-sugar-mill-money-laundering/,PMs aide says family also availed millions in subsidy without exporting the commodity,Sharifs used sugar mill for money laundering,,,,2
https://tribune.com.pk/story/2030422/1-fbr-seeks-report-benami-scheme-departments/,Documents reveal billions of rupees worth properties surfaced during last amnesty scheme,FBR seeks report on benami scheme from departments,,,,0
https://tribune.com.pk/story/2030251/1-pm-imran-discusses-kashmir-uk-counterpart-johnson/,The two leaders agree on the importance of maintaining dialogue,PM Imran discusses 'serious situation in Kashmir' with UK counterpart Johnson,,,,1
https://tribune.com.pk/story/2030284/1-islamabad-seek-beijings-assistance-kashmir-issue-qureshi/,India has stripped Kashmiris of the special autonomy they had for seven decades,Qureshi likely to leave for Beijing to discuss Kashmir,,,,2
https://tribune.com.pk/story/2030183/1-nsc-huddle-discusses-indias-illegal-kashmir-move/,"Top civil-military huddle decides to downgrade diplomatic ties, suspend bilateral trade","Pakistan expels Indian envoy, suspends trade over Occupied Kashmir move",,,,3
https://tribune.com.pk/story/2030114/1-pm-imran-saudi-crown-prince-discuss-iok-situation/,Crown Prince MBS briefed by PM Imran on latest developments in Kashmir: Saudi Press Agency,"PM Imran, Saudi crown prince discuss IoK situation",,,,0
https://tribune.com.pk/story/2030127/1-ex-finance-minister-miftah-ismail-arrested-nab/,NAB also arrest former PSO MD Sheikh Imranul Haque,Miftah arrested after IHC denies bail extension,,,,4
https://tribune.com.pk/story/2030059/3-pictures-protests-continue-indian-occupation-forces-lockdown-kashmir/,Labourers go back home while Indian occupation forces continue to stand guard,In pictures: Protests continue as Indian occupation forces lockdown Kashmir,,,,2
https://tribune.com.pk/story/2030034/1-icj-questions-legality-procedure-adopted-revoke-iok-special-status/,"Indian high courts, SC have ruled that Indian president needs consent of J&K govt to change its status: ICJ",ICJ questions legality of procedure adopted to revoke IoK special status,,,,0
https://tribune.com.pk/story/2029982/1-least-10-injured-nowshera-blast/,Five security personnel among the injured,At least 10 injured in Nowshera blast,,,,2
https://tribune.com.pk/story/2030011/1-justice-isa-challenges-presidential-reference-sc/,"Asks top court to dismiss references filed against him with malice, ulterior motives",Justice Isa challenges presidential reference,,,,0
https://tribune.com.pk/story/2030007/1-debate-indias-kashmir-move-continues-parliament/,Warns that New Delhis move may lead to a dangerous escalation that will have far reaching impact,Parliament rejects Indias illegal Kashmir move,,,,2
https://tribune.com.pk/story/2029851/1-pakistan-witness-fresh-spell-monsoon-rains-today/,Authorities advised to stay alert amid urban and flash flooding warnings,Pakistan to witness fresh spell of monsoon rains,,,,2
https://tribune.com.pk/story/2029971/1-lodhi-briefs-unsc-president-indias-illegal-actions-occupied-kashmir/,Lodhi also handed a letter from FM Qureshi to UN Secretary-General AntÃ³nio Guterres,Lodhi briefs UNSC president over Indias illegal actions in occupied Kashmir,,,,0
https://tribune.com.pk/story/2029946/3-indian-soldiers-patrol-silent-streets-occupied-kashmir-curfew/,At least six people were admitted to a hospital in the city with gunshot wounds and other injuries,Indian soldiers patrol silent streets after occupied Kashmir curfew,,,,2
https://tribune.com.pk/story/2029802/1-capitals-housing-societies-told-set-sewage-treatment-plants/,CDA offers to extend technical support to societies in setting up plants,Capitals housing societies told to set up sewage treatment plants,,,,1
https://tribune.com.pk/story/2029797/1-guns-banned-murree-bid-make-hill-station-tourist-friendly/,"CPO tells police to ensure safe, secure environment for people coming on Eid and Independence Day holidays",Guns banned in Murree in bid to make hill-station tourist-friendly,,,,1
https://tribune.com.pk/story/2029798/1-schools-told-clean-vacation-end/,Schools have been directed to submit a report and any complaint regarding cleanliness would be dealt strictly,Schools told to clean up before vacation end,,,,1
https://tribune.com.pk/story/2029795/1-ministry-brings-change-climate-marghzar-zoo/,Visitors say conditions improving after ministry took over zoos management,Ministry brings change of climate at Marghzar Zoo,,,,1
https://tribune.com.pk/story/2029786/1-free-cattle-markets-set-save-vendors-contractors/,"Mobile cattle markets raise questions over district admin's control, city cleanliness",Free cattle markets set up to save vendors from contractors,,,,2
https://tribune.com.pk/story/2029790/1-traffic-awareness-drive-launched/,Motorcyclists would be educated about using rear mirrors while motorists would be educated to follow lane discipline,Traffic awareness drive launched,,,,1
https://tribune.com.pk/story/2029823/1-enemies-exploiting-disunity-amongst-muslims/,K-P information minister says the silence of OIC on recent events in IoK has astonished the government,Enemies exploiting disunity amongst Muslims,,,,2
https://tribune.com.pk/story/2029828/1-k-p-cm-wants-detailed-plans-peshawars-drains/,Wants new standards implemented for heavy vehicles and workshops,K-P CM wants detailed plans on Peshawars drains,,,,0
https://tribune.com.pk/story/2029830/1-mpas-elect-nmtds-start-registering-k-p-assembly/,Oath-taking ceremony for the new lawmakers is expected to be held after Eidul Azha,MPAs-elect from NMTDs start registering with K-P Assembly,,,,0
https://tribune.com.pk/story/2029834/1-police-arrest-minors-rapist-shangla/,The suspect had managed to flee after brandishing a gun at onlookers,Police arrest minors rapist in Shangla,,,,2
https://tribune.com.pk/story/2029836/1-kashmir-dispute-demands-governments-proactive-role-suggest-experts/,"Experts say a parliamentary decision on the subject, intensive lobbying on Kashmir needed","Kashmir dispute demands governments proactive role, suggest experts",,,,0
https://tribune.com.pk/story/2029856/1-indian-unilateralism-endangering-south-asia-qureshi-tells-oic/,FM urges body to show solidarity with Kashmir through action,"Indian unilateralism endangering South Asia, Qureshi tells OIC",,,,1
https://tribune.com.pk/story/2029708/1-ppp-body-meets-identify-14-defectors-senate/,The fact-finding committee will hold its next sitting after Eid,PPP body meets to identify 14 'defectors' in Senate,,,,0
https://tribune.com.pk/story/2029705/1-panel-named-probe-reko-diq-fiasco/,Seven-member committee to investigate causes for the adverse ICSID judgment,Panel named to probe Reko Diq fiasco,,,,0
https://tribune.com.pk/story/2029697/1-nsc-meets-discuss-kashmir/,Meeting called to discuss situation in Kashmir after Indian governments decision to change the IOK's special status,NSC meets to discuss Kashmir,,,,0
https://tribune.com.pk/story/2029694/1-pm-imran-true-spokesperson-kashmiris-rights-firdous/,"Mushaal Mullick says India wants to expel Kashmiris from their homes, make them refugees in their own homeland",PM Imran true spokesperson for Kashmiris rights: Firdous,,,,2
https://tribune.com.pk/story/2029691/1-india-pledged-hold-plebiscite-kashmir-sc/,Apex court notes Indian PM Nehru vowed to leave Kashmiris free to decide the future of their state,India pledged to hold plebiscite in Kashmir: SC,,,,2
https://tribune.com.pk/story/2029653/1-pm-imran-forms-high-powered-committee-kashmir-deliberations/,7-member committee to suggest future course of action following scrapping of occupied territory's special status,PM Imran forms high-powered committee for Kashmir deliberations,,,,1
https://tribune.com.pk/story/2029662/1-fearing-arrest-rape-accused-lawmaker-flees-pakistan/,"PML-N MPA Attaur Rehman is accused of raping, blackmailing a university student for 11 months in Multan","Fearing arrest, rape accused lawmaker flees abroad",,,,2
https://tribune.com.pk/story/2029566/1-naive-pm-seen-warning-signs-occupied-kashmir-bilawal/,PPP chairman says Narendra Modi is playing with fire in Indian Occupied Kashmir,Naive' PM should have seen warning signs in Occupied Kashmir: Bilawal,,,,0
https://tribune.com.pk/story/2029583/1-least-two-martyred-13-injured-quetta-market-blast/,One martyred and 13 injured as IED exploded inside the market on Mission Road,Blast hits Hazara communitys shoe market in Quetta,,,,2
https://tribune.com.pk/story/2030252/2-insurance-portal-choice-insureatoasis-com/,"With over 7500 policies issued soon after the launch, InsureAtOasis gets set to take the market by storm",The insurance portal of choice â€“ InsureAtOasis.com,,,,12
https://tribune.com.pk/story/2029408/3-pictures-fear-occupied-kashmir/,"India locks down occupied Kashmir, revokes article 370",In pictures: Fear in occupied Kashmir,,,,2
https://tribune.com.pk/story/2029195/1-prepared-go-extent-fulfill-obligations-kashmiri-people-pakistan-army/,"Pakistan Army firmly stands by the Kashmiris in their just struggle to the very end, says military leadership",Prepared to go to any extent to fulfill our obligations to Kashmiri people: Army,,,,1
https://tribune.com.pk/story/2029387/1-oic-meet-today-discuss-illegal-developments-regarding-iok/,FM Qureshi to represent Pakistan in the session,OIC to meet today to discuss 'illegal developments regarding IoK',,,,1
https://tribune.com.pk/story/2029264/1-review-petition-cm-murads-disqualification-accepted-sc-hearing/,Notice issued to Sindh chief minister,Review petition for CM Murads disqualification accepted by SC for hearing,,,,0
https://tribune.com.pk/story/2029298/1-us-diplomat-alice-wells-arrives-islamabad/,Wells to discuss matters related to IoK and Indian aggression along the LoC with top civil and military leadership,US diplomat Alice Wells arrives in Islamabad,,,,1
https://tribune.com.pk/story/2029225/1-joint-session-parliament-discuss-indias-occupied-kashmir-move/,PM tells global community to take action on Modi govt's anti-Muslim move in IOK,Imran vows to confront BJP's 'racist' ideology,,,,1
https://tribune.com.pk/story/2029251/1-key-dates-occupied-kashmirs-bloody-hi/,"A timeline of major events in which more than 70,000 people have been killed",Key dates in occupied Kashmir's bloody history,,,,2
https://tribune.com.pk/story/2029209/1-refugees-pakistan-fearful-india-abolishes-kashmir-autonomy/,"There are roughly 38,000 refugees from Indian-held Kashmir in camps on the Pakistani side",Refugees in Pakistan fearful after India abolishes Kashmir autonomy,,,,0
https://tribune.com.pk/story/2029011/1-sanitation-workers-targeted/,"According to Police, employees were performing their routine duty when 2 suspects stopped by and started abusing them",Sanitation workers targeted,,,,2
https://tribune.com.pk/story/2029014/1-pbm-provides-cochlear-implant/,Abbas says that around 20 children were being treated with Rs13 million on an initial basis,PBM provides cochlear implantÂ,,,,1
https://tribune.com.pk/story/2029016/1-hashoo-commits-greener-pakistan/,"5,000 trees planted in Islamabad on Monday",Hashoo commits to a greener PakistanÂ,,,,1
https://tribune.com.pk/story/2029008/1-cda-forms-cleanliness-committee/,It has been tasked particularly to restore the streams and nullahs flowing in the city into their natural shape,CDA forms cleanliness committeeÂ Â Â,,,,1
https://tribune.com.pk/story/2029145/1-un-concerned-indias-move-revoke-special-status-kashmir/,Spokesperson Dujarric says Pakistan and India should settle all outstanding disputes through talks including Kashmir,UN concerned over India's move to revoke special status of Kashmir,,,,3
https://tribune.com.pk/story/2028929/1-uop-students-teach-street-children/,60 street children benefited from this educational process,UoP students teach street children,,,,1
https://tribune.com.pk/story/2028785/3-revoking-special-status-kashmiri-nightmare-come-true/,"By repealing Article 370, the Modi govt inches closer to altering Indian Occupied Kashmir's demography",Revoking special status: A Kashmiri nightmare come true,,,,2
https://tribune.com.pk/story/2029037/1-role-poetry-inspiring-social-change/,Khanzada said that a poet takes the responsibility of conveying the emotions of society through their verses,Role of poetry in inspiring social change,,,,0
https://tribune.com.pk/story/2029038/1-man-killed-passenger-train/,The deceased was shifted to Jinnah Postgraduate Medical Centre for medico-legal formalities,Man killed by passenger train,,,,0
https://tribune.com.pk/story/2029024/1-police-baton-charge-teachers-arrest-pti-mpa/,The teachers had earlier been told that their services were no longer needed,"Police baton-charge teachers, arrest PTI MPA",,,,0
https://tribune.com.pk/story/2029021/1-dedication-doesnt-pay-inside-story-sindhs-cabinet-reshuffle/,"Suhail Anwar Siyal, who is facing corruption charges, has been given charge of anti-corruption establishment",Dedication doesnt pay - the inside story of Sindhs cabinet reshuffle,,,,0
https://tribune.com.pk/story/2029074/1-mazari-asks-un-notice-indian-use-cluster-bomb/,Says Indian move to revoke special constitutional status of IOK against all norms,Mazari asks UN to notice Indian use of cluster bomb,,,,2
https://tribune.com.pk/story/2029073/1-indian-actions-kashmir-attempt-escalate-tensions-imam/,"Parliamentary body passes resolution against atrocities, repeal of law in occupied Kashmir",Indian actions in Kashmir attempt to escalate tensions: Imam,,,,1
https://tribune.com.pk/story/2029056/1-kenyan-tech-convert-plastic-bags-biodegradable-ones/,Adviser on climate change says every person consumes 5g of plastic due to pollution,Kenyan tech to convert plastic bags into biodegradable ones,,,,2
https://tribune.com.pk/story/2029050/3-indian-judiciarys-real-test/,It is reported that Modis move will be challenged in the superior courts by different segments of the Indian society,Indian judiciarys real test,,,,3
https://tribune.com.pk/story/2029063/1-kashmir-tension-may-derail-afghan-peace-efforts/,"Indian govt abrogated Article 370, which gave special status to the occupied territory",Kashmir tension may derail Afghan peace efforts,,,,2
https://tribune.com.pk/story/2029046/1-pakistan-strongly-rejects-indias-illegal-move/,"Summons Indian envoy; PM calls Erdogan, Mahatir; parliament, corps commanders to meet today",Pakistan strongly rejects Indias illegal move,,,,0
https://tribune.com.pk/story/2029065/1-pm-seeks-performance-reports-ministries/,Says PTV should produce programmes to truly highlight Pakistan's social values,PM seeks performance reports from ministries,,,,1
https://tribune.com.pk/story/2029068/2-exiting-fatf-grey-list-vital-imf-deal-daban/,IMF representative says potential blacklisting by FATF can result in a freeze of capital inflows to Pakistan,Exiting FATF grey list vital for IMF deal: Daban,,,,2
https://tribune.com.pk/story/2028985/1-pakistan-demands-un-fact-finding-mission-assess-iok-situation/,FM Qureshi also urges UN chief to appoint a special representative on Indian Occupied Jammu and Kashmir,Pakistan demands UN fact-finding mission to assess IOK situation,,,,1
https://tribune.com.pk/story/2028958/3-us-afghan-envoy-praises-excellent-progress-taliban-talks/,"Flying to New Delhi for pre-scheduled meetings to further build international consensus, says Zalmay Khalilzad",US Afghan envoy praises 'excellent progress' in Taliban talks,,,,0
https://tribune.com.pk/story/2028820/1-kashmiris-compelled-rethink-allegiance-towards-new-delhi-mehbooba-mufti/,"India has turned Kashmir into an Israel-like illegal occupation, says IOK's former CM",Kashmiris compelled to rethink their allegiance towards New Delhi: Mehbooba Mufti,,,,2
https://tribune.com.pk/story/2028773/1-changing-iok-status-modis-endgame-along-analysts/,Observers say New Delhi's decision is not a knee-jerk reaction to Trumps Kashmir mediation offer,Changing IOK status was Modi's endgame all along: analysts,,,,2
https://tribune.com.pk/story/2028832/1-pakistans-issues-demarche-india-changing-iok-status/,Foreign secretary conveys unequivocal rejection of New Delhis illegal actions to Indian High Commissioner,Pakistans issues dÃ©marche to India over changing IoK status,,,,2
https://tribune.com.pk/story/2028816/1-hindu-community-decorates-na-national-flag-made-60000-balloons/,"All Pakistanis stand united for defence of their motherland, says Dr Ramesh Vankwani","Hindu community decorates NA with national flag made of 60,000 balloons",,,,1
https://tribune.com.pk/story/2028803/1-erdogan-assures-pakistan-steadfast-support-kashmir/,PM Imran Khan speaks to Turkish president; apprises of recent developments in occupied valley,Erdogan assures Pakistan steadfast support on Kashmir,,,,1
https://tribune.com.pk/story/2028727/6-analysis-pakistans-diplomacy-trial/,Imtiaz Gul explores the implications of India revoking Article 370 and Pakistan's options to counter New Delhi,Analysis: Pakistan's diplomacy on trial,,,,0
https://tribune.com.pk/story/2028764/1-pakistan-united-kashmir-issue-ajk-pm/,Raja Farooq Haider urges govt to send letters to foreign secretaries; says India has lost Kashmir,Pakistan is united over Kashmir issue: AJK PM,,,,0
https://tribune.com.pk/story/2028751/1-malaysia-pm-mahathir-expresses-concern-indias-lock-kashmir/,Leaders discussed Indias announcement regarding the status of IOK,Malaysia PM Mahathir expresses concern over occupied Kashmir's situation,,,,0
https://tribune.com.pk/story/2028733/3-trump-calls-us-lawmakers-pass-gun-background-check-law/,Laws for strong background checks for firearm purchase to be passed,Trump calls on US lawmakers to pass gun background check law,,,,0
https://tribune.com.pk/story/2028724/1-pti-lawmaker-asks-donations-support-clean-karachi-campaign/,Zaidi has claimed that over Rs1.75 billion is required over a period of 90 days for the initiative,PTI lawmaker asks for donations to support Clean Karachi campaign,,,,2
https://tribune.com.pk/story/2028707/1-sindh-cabinet-undergoes-quick-reshuffle/,Move comes soon after the induction of six new cabinet members,Sindh cabinet undergoes quick reshuffle,,,,1
https://tribune.com.pk/story/2028535/1-pakistan-rejects-indias-decision-abolish-occupied-kashmir-special-status/,FO says Pakistan will exercise all possible options to counter New Delhi's illegal steps,Pakistan rejects Indias decision to abolish occupied Kashmir special status,,,,1
https://tribune.com.pk/story/2028531/1-pm-imran-launches-plantation-drive-save-future-generations/,Citizens asked to plant at least two saplings each on August 18,Premier launches plantation drive to 'save future generations',,,,1
https://tribune.com.pk/story/2028458/1-explainer-articles-370-35a/,Under the Article IoK was recognized as an independent state,Explainer: What are Articles 370 and 35A?,,,,1
https://tribune.com.pk/story/2028487/1-alert-pakistan-villagers-amid-tension-india/,"Authorities have asked villagers through social media, WhatsApp to remain alert and not approach any suspicious object",Authorities issue alert to villagers living along LoC amid tensions with India,,,,0
https://tribune.com.pk/story/2028350/1-kashmir-flare-un-urges-pakistan-india-exercise-maximum-restraint/,"UN observer group reported increased military activity at LoC over recent days, says spokesman Stephane Dujarric","Kashmir flare-up: UN urges Pakistan, India to 'exercise maximum restraint'",,,,2
https://tribune.com.pk/story/2028152/1-provincial-assembly-asks-govt-curb-fake-drugs/,Accepts motion to discuss Reko Diq verdict today,Provincial assembly asks govt to curb fake drugs,,,,0
https://tribune.com.pk/story/2028185/1-micro-planning-anti-polio-drive/,Drive targets children who could not be vaccinated earlier,Micro planning for anti-polio drive,,,,2
https://tribune.com.pk/story/2028355/1-na-speaker-issues-production-orders-zardari-saad-khaqan/,Talks underway with law ministry to determine whether production orders will be issued for Rana Sanaullah or not,"NA speaker issues production orders for Zardari, Saad and Khaqan",,,,0
https://tribune.com.pk/story/2028328/1-india-locks-occupied-kashmir-former-cms-put-house-arrest/,"India deploys unprecedented number of troops, all internet and telephone services suspended in occupied valley","India locks down occupied Kashmir, former CMs put under house arrest",,,,2
https://tribune.com.pk/story/2028179/1-51674-trial-prisoners-detained-98-jails-sc-told/,Federal ombudsman submits report regarding status of improving conditions of jails in Pakistan,"51,674 under trial prisoners detained in 98 jails, SC told",,,,1
https://tribune.com.pk/story/2028182/1-balloting-railways-jobs-held/,Computerized balloting through third party Bahria Town has been cancelled,Balloting for railways jobs to be held again,,,,2
https://tribune.com.pk/story/2028188/1-fbr-sets-ups-anti-benami-directorate/,"Directorate will be authorised to seize luxury vehicles, offshore investments, bank accounts, stocks and shares",FBR sets ups anti-benami directorate,,,,0
https://tribune.com.pk/story/2028161/1-punjab-mpa-accused-raping-blackmailing-university-student-multan/,"PML-N's Attaur Rehman 'sexually assaulted' victim for over 11 months, threatened to go public with her rape video","Punjab MPA accused of raping, blackmailing university student in Multan",,,,2
https://tribune.com.pk/story/2028158/1-fazl-scrambles-hold-opposition-together/,JUI-F chief speaks to Shehbaz and Bilawal on the phone,Fazl scrambles to hold opposition together,,,,0
https://tribune.com.pk/story/2028149/1-justice-isa-likely-challenge-presidential-reference-sc/,PBC will also move a constitution petition against the reference this week,Justice Isa to likely challenge presidential reference in SC,,,,0
https://tribune.com.pk/story/2028075/1-watch-yasin-malik-moving-towards-slow-death-indian-jail-says-wife/,"There are rumours of JKLF chief succumbing to his illness,' Mushaal Mullick says in video message","WATCH: Yasin Malik moving towards 'slow death' in Indian jail, says wife",,,,4
https://tribune.com.pk/story/2028068/1-oic-voices-concerns-use-cluster-munitions-indian-forces/,Muslim body reiterates its call upon international community to rise up to its responsibility,OIC voices concerns over use of cluster munitions by Indian forces,,,,0
https://tribune.com.pk/story/2027977/1-pakistan-urges-oic-take-note-indias-atrocities-kashmiris/,India is neither considering third-party arbitration nor ready for bilateral talks on Kashmir issue: FM Qureshi,Pakistan urges OIC to take note of India's atrocities against Kashmiris,,,,2
https://tribune.com.pk/story/2027954/1-aku-ranked-among-worlds-top-100-universities-clinical-medicine/,"In latest global rankings, AKU also included in top 200 universities for public health",AKU ranked among world's top 100 universities for clinical medicine,,,,1
https://tribune.com.pk/story/2027998/1-pm-imran-demands-unsc-action-india-using-cluster-munitions-along-loc/,"PM calls for progress on Trump's mediation offer, says situation has ""potential to blow up into a regional crisis""",PM Imran demands UNSC action against India for using cluster munitions along LoC,,,,2
https://tribune.com.pk/story/2027880/1-police-department-honours-sacrifices-officials-martyrs-day/,"President, COAS and others appreciate efforts of the police department",Police department honours sacrifices of officials on Martyrs Day,,,,1
https://tribune.com.pk/story/2027549/1-suspected-congo-virus-patient-dies/,Two more suspected patients admitted to Fatima Jinnah Hospital,Suspected Congo virus patient dies,,,,2
https://tribune.com.pk/story/2023820/1-police-arrest-fixit-volunteers-clash-ppp-workers/,The FixIt campaigners had gone to dump garbage outside Saeed Ghani's office at Teen Talwar,Police arrest FIxIt volunteers after clash with PPP workers,,,,2
https://tribune.com.pk/story/2027527/3-bap-becomes-new-entry-k-p-assembly/,Three MPAs of merged districts join Balochistan Awami Party,BAP becomes new entry in K-P Assembly,,,,0
https://tribune.com.pk/story/2027539/1-adnan-enters-badminton-quarterfinals/,"Adnan recorded victory against Zobair Shah, also from K-P, in straight sets",Adnan enters badminton quarterfinals,,,,1
https://tribune.com.pk/story/2027811/1-pm-imran-summons-national-security-committee-meeting-today/,"New Delhi may resort to false flag operations to deceive the Indians, international community",Civil-military huddle reaffirms resolve to thwart any Indian misadventure,,,,2
https://tribune.com.pk/story/2027818/3-deadliest-recent-mass-shootings-united-states/,As a recent surge in violent attack is seen across the country,Deadliest recent mass shootings in the United States,,,,2
https://tribune.com.pk/story/2027637/1-breastfeeding-awareness-drive-begins/,The campaign will continue till August 7,Breastfeeding awareness drive begins,,,,0
https://tribune.com.pk/story/2027643/1-endurance-asset-activist-ahsan/,He says that politics have become infertile because politicians have stopped studying,Endurance an asset of activist: Ahsan,,,,2
https://tribune.com.pk/story/2027636/1-new-machine-installed-bbgh/,The machine would become operative before Eid-ul-Azha and that it would enable the treatment of kidney stones,New machine installed in BBGH,,,,1
https://tribune.com.pk/story/2027642/1-mtf-challenges-ban-cng/,The MTF leaders said that ban was illegitimate,MTF challenges ban on CNG,,,,LALAND 
https://tribune.com.pk/story/2027631/1-swat-valley-divided-border-united-flourishing-board-bazaar/,Biggest market of traders sells authentic food and other items from Kabul,"Divided by a border, united by the flourishing Board Bazaar",,,,1
https://tribune.com.pk/story/2027794/2-pakistan-get-13-million-euros-european-union/,"Public Financial Management Support Programme aims to ensure rule of law, good governance and poverty reduction",Pakistan to get 13 million euros from European Union,,,,1
https://tribune.com.pk/story/2027789/1-wheat-flour-prices-go-punjab/,"Provincial ministers believe the market is stable, the move would counter smuggling","Wheat, flour prices to go up in Punjab",,,,1
https://tribune.com.pk/story/2027790/1-pml-n-ppps-new-found-camaraderie-almost/,"PML-N leader Khawaja Asif says mistrust between two parties growing, cracks appearing in joint opposition",PML-N and PPPs newfound camaraderie almost over',,,,2
https://tribune.com.pk/story/2027665/1-traders-want-commissioner-head-hda/,Chamber's president suggests forming a coordination committee for rain and emergency situations,Traders want commissioner to head HDA,,,,3
https://tribune.com.pk/story/2027666/1-hearing-adjourned-till-august-10/,Hearing for Rs17 billion corruption reference against Dr Asim Siddiqui,Hearing adjourned till August 10,,,,3
https://tribune.com.pk/story/2027647/1-sewerage-line-replaced/,Officials expect completion of the work in the next three days,Sewerage line to be replaced,,,,1
https://tribune.com.pk/story/2027515/1-india-uses-cluster-munitions-civilians-along-loc/,Pakistan condemns int'l law violation; experts say New Delhi using cluster weapons to instill fear among KashmirisÂ,India uses cluster munitions on civilians along LoC,,,,1
https://tribune.com.pk/story/2027456/1-hajj-pilgrim-held-trying-smuggle-liquid-ice-sherbet-bottles/,Suspect was departing for Saudi Arabia to perform Hajj through a private airline,Hajj pilgrim held for trying to smuggle 'liquid ice' in sherbet bottles,,,,2
https://tribune.com.pk/story/2027439/1-pm-highlight-govts-one-year-achievements-televised-speech-august-18/,"Ministries, divisions directed to submit five key achievements by August 9",PM to highlight govt's one-year 'achievements' in televised speech on August 18,,,,0
https://tribune.com.pk/story/2027420/1-pm-imran-files-rs10b-lawsuit-najam-sethi-slanderous-claims/,Senior anchorperson claimed during his talk show that the premier had developed differences with the first lady,PM Imran files Rs10b lawsuit against Najam Sethi over 'slanderous' claims,,,,0
https://tribune.com.pk/story/2027399/1-no-weapon-can-suppress-kashmiri-right-self-determination-dg-ispr/,Indian army falsely claimed to have repelled Pakistani attack along LoC resulting in casualties,Army rubbishes Indian claims over 'LoC clash',,,,2
https://tribune.com.pk/story/2027309/4-four-key-habits-steal-alia-bhatts-daily-routine/,The 'Kalank' actor revealed four important things she does soon after waking up,Four key habits you should steal from Alia Bhatt's daily routine,,,,0
https://tribune.com.pk/story/2027306/1-indian-citizen-fake-pakistani-identity-papers-arrested-gujranwala/,Tiwari is married to a Pakistani woman and is living in Pakistan for the last 10 years,Indian citizen with fake Pakistani identity papers arrested from Gujranwala,,,,0
https://tribune.com.pk/story/2027300/1-indian-army-used-cluster-munitions-civilians-violation-intl-laws-ispr/,Bombardment martyrs at least two and injures 11,Indian army used cluster munitions against civilians in violation of int'l laws: ISPR,,,,2
https://tribune.com.pk/story/2027170/4-father-didnt-speak-eight-years-maya-ali-becoming-actor/,"Although she eventually found peace with her father, the actor wishes parents allowed children to pursue their dreams",My father did not speak to me for eight years: Maya Ali on becoming an actor,,,,0
https://tribune.com.pk/story/2027163/1-90-work-completed-kartarpur-corridor/,"PM Imran, COAS likely to inaugurate the corridor on Nov 9",90% work completed on Kartarpur Corridor,,,,1
